TIME  2013  2014  2015  2016  2017  2018  2019  2020  2021  2022
Groningen  0  133000  152000  150000  0  0  148488  149585  156000  161000
Grosseto  0  0  0  0  0  24780  24349  24079  0  0
Grudziadz  0  0  0  0  0  0  0  0  0  0
Guadalajara  0  0  31739  31676  32348  32637  32880  32900  33236  33476
Guildford  0  0  70800  76300  79600  77200  0  0  0  0
Guimaraes  0  0  0  0  0  0  0  0  44847  0
Gyor  0  0  0  68475  0  0  0  0  0  73187
Gorlitz  66800  66400  64976  65075  63580  61937  61129  59842  26000  0
Goteborg  0  0  0  0  265250  272176  0  0  0  0
Gottingen  98700  98100  97781  119416  119021  118078  118166  113833  82000  0
Halle_an_der_Saale  111800  110300  108898  110178  108307  107150  106398  106703  95000  0
Hamburg  856200  873300  871210  892949  909773  912961  916297  920447  987000  0
Hannover  335800  337000  338270  345403  346072  344405  348792  339387  349000  0
Haskovo  0  0  20521  19852  20057  19840  19968  19254  17428  0
Hastings  0  0  45800  44100  48500  44400  0  0  0  0
Hatay  0  0  0  0  0  0  0  0  0  0
Hayange  76321  76273  75962  75928  75939  76202  76744  77504  0  0
Heerlen  0  38000  76000  75000  0  0  73180  73470  76000  76000
Heidelberg  178700  180000  182302  186296  188078  188400  189205  186503  92000  0
Heilbronn  131400  132700  135055  139333  140958  142198  143410  141380  121000  0
Helsingborg  0  0  0  0  57716  58984  0  0  0  0
Helsinki/Helsingfors  0  0  378526  383303  388117  395709  402776  405751  412354  0
Hildesheim  72400  71700  71532  73081  72963  72452  72560  70350  57000  0
Hradec_Kralove  0  0  0  0  0  0  0  0  0  0
Huelva  60623  60712  60312  59869  58561  59278  59422  58721  59041  59434
Hungary  0  0  0  2490002  2513021  2394547  0  0  0  0
Iasi  0  0  0  0  0  0  0  0  0  0
Igualada  0  0  19092  18891  19138  18968  19226  19149  19498  19566
Ingolstadt  141600  143100  144717  149008  150145  149777  150789  149518  124000  0
Inowroclaw  0  0  0  0  0  0  0  0  0  0
Ioannina  0  0  0  0  0  0  0  0  0  0
Ipswich  0  0  86400  89200  96700  97700  0  0  0  0
