Eindhoven  0  366000  396000  404000  0  0  416114  421658  435000  445000    
Eivissa  0  0  85163  86127  89047  86889  89612  89114  91758  94304    
Elblag  0  0  0  0  0  0  0  0  0  0    
Elche/Elx  129492  129471  130360  133086  133677  132334  133900  130554  133474  137897    
Elda  0  0  0  0  0  0  0  41270  41891  42622    
Elk  0  0  0  0  0  0  0  0  0  0    
Enschede  0  209000  210000  207000  0  0  202689  208448  220000  226000    
Erfurt  269200  266000  260391  266219  264478  262557  261557  257170  188000  0    
Erlangen  0  0  0  0  0  0  0  0  168000  0    
Erzurum  0  0  0  0  0  0  0  0  0  0    
Estonia  0  0  683100  691400  698800  702400  0  0  0  0    
Exeter  0  0  251700  232400  252700  246300  0  0  0  0    
Faro  0  0  0  0  0  0  0  0  58482  0    
Ferrara  0  0  0  0  0  96816  100399  98268  0  0    
Ferrol  0  0  70854  69949  67453  69588  68297  66086  66427  66580    
Finland  0  0  2631321  2631516  2624226  2630122  0  0  0  0    
Firenze  0  0  0  0  0  374076  378781  368083  0  0    
Flensburg  131600  131500  132545  133509  135546  137058  139025  138711  104000  0    
Focsani  0  0  0  0  0  0  0  0  0  0    
Foggia  0  0  0  0  0  68678  66116  66182  0  0    
Forlì  0  0  0  0  0  80398  79142  78746  0  0    
Fort-de-France  171075  170802  169606  168101  166050  164030  162158  160310  0  0    
France  30906700  31032658  31115398  31115300  31200666  31201462  31334926  31477661  0  0    
Frankfurt_(Oder)  30900  29600  28573  28906  28346  28301  27560  26674  43000  0    
Frankfurt_am_Main  1295600  1293100  1317008  1351982  1359157  1364597  1393818  1368936  1393000  0    
Freiburg_im_Breisgau  321500  325200  329333  339006  340982  342942  347033  339833  326000  0    
Friedrichshafen  109600  110900  112401  114808  115292  115538  117137  114201  87000  0    
Fréjus  49076  49397  49557  49909  49561  50659  51182  51252  0  0    
Fulda  111400  111200  112531  115115  115647  115938  118170  115264  123000  0    
Funchal  0  0  0  0  0  0  0  0  98729  0    
Galati  0  0  0  0  0  0  0  0  0  0    
Galway  0  0  0  0  0  0  0  0  0  0    
Gandia  0  0  55416  54950  54161  54413  54075  54619  55870  56466    
Gaziantep  0  0  0  0  0  0  0  0  0  0    
Gdansk  0  0  0  0  0  0  0  0  0  0    
Gela  0  0  0  0  0  25917  24636  23922  0  0    
Geneva_crossborder_FUA  0  0  0  447719  453508  461694  513284  519676  0  0    
Genova  0  0  0  0  0  305896  306876  301755  0  0    
Gent  0  0  274422  277985  248150  249440  298660  0  322988  0    
Genève  0  0  0  280896  284171  289389  283927  287248  286164  0    
Gera  98600  96300  92689  93720  92167  90651  89678  87101  58000  0    
Germany  40895600  41057600  41182600  42002900  42069600  42065240  0  0  0  0    
Gießen  131300  130500  131947  134814  134432  134805  138204  134813  128000  0    
Gijón  137896  137793  135544  136105  130373  135606  132929  131101  132520  130759    
Girona  0  0  88794  88516  91534  90290  91591  91343  92747  93688    
Giurgiu  0  0  0  0  0  0  0  0  0  0    
Glasgow  0  0  0  905600  912900  912600  0  0  0  0    
Glogów  0  0  0  0  0  0  0  0  0  0    
Gniezno  0  0  0  0  0  0  0  0  0  0    
Gorzów_Wielkopolski  0  0  0  0  0  0  0  0  0  0    
Gouda  0  46000  37000  36000  0  0  40524  39733  41000  42000    
Granada  270791  271879  275284  275515  275263  273766  271632  265691  277405  277115    
Greece  0  0  0  0  0  0  0  0  0  0    
Greifswald  117300  115500  112179  112300  109941  107214  108686  108641  64000  0    
Grenoble  341421  342015  342244  340259  340103  340312  341685  343656  0  0    
Groningen  0  249000  282000  282000  0  0  283297  283517  301000  309000    
Grosseto  0  0  0  0  0  45247  44663  43722  0  0    
Grudziadz  0  0  0  0  0  0  0  0  0  0    
Guadalajara  0  0  59607  59715  61382  61982  62871  62198  62693  63198    
Guildford  0  0  131800  144500  143400  140900  0  0  0  0    
Guimarães  0  0  0  0  0  0  0  0  91255  0    
Gyõr  0  0  0  124649  0  0  0  0  0  138226    
Görlitz  126200  125100  122749  121901  119911  116997  116767  113711  49000  0    
Göteborg  0  0  0  0  516139  527842  0  0  0  0    
Göttingen  187400  186000  186629  223961  223895  223108  223431  216594  155000  0    
Halle_an_der_Saale  212700  210100  208572  209535  205992  201289  201872  201514  179000  0    
Hamburg  1629000  1657700  1663605  1693293  1726761  1733971  1752608  1741628  1875000  0    
Hannover  635900  636100  641234  646724  650162  649531  656440  641452  665000  0    
Haskovo  0  0  38691  37290  37389  37052  37134  35974  34102  0    
Hastings  0  0  84800  84400  87400  87000  0  0  0  0    
Hatay  0  0  0  0  0  0  0  0  0  0    
Hayange  143795  144507  144329  144532  144808  145647  146729  148245  0  0    
Heerlen  0  68000  140000  138000  0  0  134280  132238  140000  142000    
Heidelberg  341100  343000  347239  355669  357729  358277  360926  353739  178000  0    
Heilbronn  241400  242700  246361  253651  255548  257199  260544  255479  217000  0    
Helsingborg  0  0  0  0  112075  114040  0  0  0  0    
Helsinki/Helsingfors  0  0  764126  772195  779786  793672  803917  806394  816092  0    
Hildesheim  135900  134700  135168  136787  136969  136466  136546  132854  106000  0    
Hradec_Králové  0  0  0  0  0  0  0  0  0  0    
Huelva  111131  111500  112060  111055  108306  110297  112072  109213  110432  111822    
Hungary  0  0  0  4586216  4613090  4382863  0  0  0  0    
Iasi  0  0  0  0  0  0  0  0  0  0    
Igualada  0  0  35851  35732  35999  35621  36379  36080  37058  37037    
Ingolstadt  251900  255300  257815  265307  267169  266987  270242  267148  224000  0    
Inowroclaw  0  0  0  0  0  0  0  0  0  0    
Ioannina  0  0  0  0  0  0  0  0  0  0    
Ipswich  0  0  170300  170900  180500  182700  0  0  0  0    
Irakleio  0  0  0  0  0  0  0  0  0  0    
Ireland  0  0  0  0  0  0  0  0  0  0    
Irun  0  0  36931  37169  36441  37600  37093  37157  37667  37230    
Iserlohn  207800  208400  207928  209870  208490  207915  207471  202725  90000  0    
Istanbul  0  0  0  0  0  0  0  0  0  0    
Italy  0  0  0  0  0  0  0  0  0  0    
Izmir  0  0  0  0  0  0  0  0  0  0    
Jastrzebie-Zdrój  0  0  0  0  0  0  0  0  0  0    
Jaén  75680  74278  75347  74617  73550  74454  73061  71249  72469  72244    
Jelenia_Góra  0  0  0  0  0  0  0  0  0  0    
Jelgava  0  0  49600  52100  49400  46900  46900  47500  46900  43100    
Jena  96900  96100  93457  95289  0  0  94691  92944  89000  0    
Jerez_de_la_Frontera  103873  106047  105311  104031  101767  102276  102020  100782  104509  103436    
Jihlava  0  0  0  0  0  0  0  0  0  0    
Jyväskylä  0  0  88149  88700  88886  89282  89470  89582  90310  0    
Jönköping  0  0  0  0  92106  94452  0  0  0  0    
Kaiserslautern  135400  135300  135413  138961  138457  137753  138569  135336  142000  0    
Kalamata  0  0  0  0  0  0  0  0  0  0    
Kalisz  0  0  0  0  0  0  0  0  0  0    
Kaposvár  0  0  0  50221  0  0  0  0  0  50977    
Karlovy_Vary  0  0  0  0  0  0  0  0  0  0    
Karlsruhe  376300  379300  383073  391555  395623  396664  400508  392688  387000  0    
Kars  0  0  0  0  0  0  0  0  0  0    
Kassel  216600  214100  215673  220052  219854  218537  221319  215335  255000  0    
Kastamonu  0  0  0  0  0  0  0  0  0  0    
Katowice  0  0  0  0  0  0  0  0  0  0    
Kaunas  0  0  201801  203644  199781  212850  213940  217369  218384  222533    
Kavala  0  0  0  0  0  0  0  0  0  0    
Kayseri  0  0  0  0  0  0  0  0  0  0    
Kecskemét  0  0  0  91051  0  0  0  0  0  97332    
Kempten_(Allgäu)  110800  111900  112542  114749  116006  116648  118238  116897  85000  0    
Kiel  308800  310300  311080  315002  318237  319681  324348  321162  256000  0    
Kielce  0  0  0  0  0  0  0  0  0  0    
Kingston_upon_Hull  0  0  292900  296400  293400  295800  0  0  0  0    
Koblenz  162000  163461  164022  167626  167128  167123  168764  165748  174000  0    
Kocaeli  0  0  0  0  0  0  0  0  0  0    
Konin  0  0  0  0  0  0  0  0  0  0    
Konstanz  132000  133700  135723  139799  140507  140799  142512  138829  56000  0    
Konya  0  0  0  0  0  0  0  0  0  0    
Kortrijk  0  0  78309  78821  79447  79753  80962  0  100060  0    
Koszalin  0  0  0  0  0  0  0  0  0  0    
Košice  0  0  0  0  0  0  0  0  0  0    
Kraków  0  0  0  0  0  0  0  0  0  0    
Krefeld  106600  107100  107507  109365  109407  109912  110162  108892  140000  0    
Kuopio  0  0  76469  76443  76276  76610  76713  76993  77701  0    
Köln  941400  954900  961010  982631  987032  991981  1001704  987891  1170000  0    
København  0  0  0  0  0  0  0  0  0  0    
L'Aquila  0  0  0  0  0  42866  41689  40699  0  0    
La_Louvière  0  0  0  0  0  0  0  0  67630  0    
La_Rochelle  103871  104755  105397  105848  106199  107492  108991  110717  0  0    
La_Spezia  0  0  0  0  0  83621  84095  83697  0  0    
Lahti/Lahtis  0  0  89287  89126  88037  87471  86391  86509  86455  0    
Landshut  115800  118100  119233  122463  123510  124006  125538  124683  106000  0    
Larisa  0  0  0  0  0  0  0  0  0  0    
Las_Palmas  327740  326531  326129  326367  326229  326404  330295  317736  324611  333739    
Latina  0  0  0  0  0  81032  79405  80888  0  0    
Latvia  0  0  994200  988600  980300  982200  0  971700  940100  956400    
Lausanne  0  0  0  296191  300325  305434  298310  299503  304389  0    
Le_Havre  154148  154091  153640  151971  151107  151321  150770  149957  0  0    
Le_Mans  170327  170115  169150  168821  168039  167992  168600  169224  0  0    
Lecce  0  0  0  0  0  90753  88552  89033  0  0    
Lecco  0  0  0  0  0  62588  61638  59100  0  0    
Leeds  0  0  1291000  1286800  1301000  1281500  0  0  0  0    
Leeuwarden  0  127000  142000  136000  0  0  126989  123506  128000  130000    
Lefkosia  0  0  0  0  0  0  0  0  0  0    
Legnica  0  0  0  0  0  0  0  0  0  0    
Leicester  0  0  426100  431700  440800  446700  0  0  0  0    
Leiden  0  86000  184000  192000  0  0  199949  198471  204  209    
Leipzig  503300  509500  511786  518046  519393  518248  526518  520559  505000  0    
Lelystad  0  0  62000  62000  0  0  60177  61117  68000  69000    
Lemesos  0  0  0  0  0  0  0  0  0  0    
Lens  136745  136914  137352  136891  136523  136563  136372  137125  0  0    
Leszno  0  0  0  0  0  0  0  0  0  0    
León  101094  101734  99641  99144  95064  99042  97546  94593  95324  96158    
Liberec  0  0  0  0  0  0  0  0  0  0    
Liepaja  0  0  46600  44700  42500  46100  46800  46300  0  49500    
Lille  695057  699090  698796  699681  701886  706065  709514  715075  0  0    
Limerick  0  0  0  0  0  0  0  0  0  0    
Limoges  147560  147381  146627  145663  144665  144332  144080  144389  0  0    
Linares  0  0  29253  28594  27534  28035  27360  26611  26765  26287    
Lincoln  0  0  161000  148900  150500  153600  0  0  0  0    
Linköping  0  0  0  0  99520  101447  0  0  0  0    
Lisboa  0  0  0  0  0  0  0  0  1444773  0    
Lithuania  0  0  1468896  1477529  1457916  1464754  0  0  0  0    
Liverpool  0  0  697100  710000  720000  734000  0  0  0  0    
Livorno  0  0  0  0  0  79709  80099  79136  0  0    
Liège  0  0  303244  304193  308553  306765  306753  0  338243  0    
Lleida  95429  94600  95080  93200  92534  93403  94780  94618  95290  94648    
Logroño  95309  95829  94305  94135  93793  95337  94860  94107  95106  95765    
Lomza  0  0  0  0  0  0  0  0  0  0    
London  0  0  6497100  6610100  6721200  6703800  0  0  0  0    
Lorca  0  0  52045  52193  53419  52929  53732  53856  55761  56258    
Lorient  98560  98613  98273  98278  98598  98722  99230  100036  0  0    
Lubin  0  0  0  0  0  0  0  0  0  0    
Lublin  0  0  0  0  0  0  0  0  0  0    
Lugano  0  0  0  88768  88724  88717  83916  85585  87212  0    
Lugo  0  0  58735  59012  57796  59075  57844  57418  57689  57850    
Luxembourg  0  0  0  0  0  0  0  0  0  0    
Luxembourg_(Grand_Duchy)  0  0  0  0  0  0  0  0  0  0    
Luzern  0  0  0  178381  180007  177524  175083  178429  177453  0    
Lyon  1051354  1063491  1073541  1079537  1084650  1096479  1107086  1118788  0  0    
Línea_de_la_Concepción,_La  0  0  0  0  0  0  0  29502  30621  30423    
Lódz  0  0  0  0  0  0  0  0  0  0    
Lübeck  194800  195300  197329  199645  201993  202908  205231  203515  198000  0    
Maastricht  0  91000  90000  90000  0  0  93493  91855  95000  96000    
Madrid  3407593  3388767  852980  3466215  3526079  3481999  3555547  3568204  3655692  3678517    
Magdeburg  260100  258300  257326  258337  253298  247794  247889  245442  208000  0    
Mainz  209600  212300  214078  219875  220327  221069  225038  222600  241000  0    
Malatya  0  0  0  0  0  0  0  0  0  0    
Malmö  0  0  0  0  302706  309051  0  0  0  0    
Malta  0  0  192724  197657  225934  239036  0  0  0  0    
Malta  0  0  179298  184337  211908  223668  240532  252143  252932  267354    
Mamoudzou  0  0  0  0  70387  0  0  0  0  0    
Manchester  0  0  1622500  1626900  1648600  1665400  0  0  0  0    
Manisa  0  0  0  0  0  0  0  0  0  0    
Mannheim-Ludwigshafen  0  0  0  0  0  0  613017  603041  697000  0    
Manresa  0  0  60742  60529  61558  60574  62229  61290  62440  61989    
Marbella  153752  153131  156420  155607  156466  155426  158725  159355  164721  168707    
Marburg  123100  121300  121766  123967  124336  124474  126071  122330  102000  0    
Marseille  820764  822938  824561  826552  826494  832046  836729  843790  0  0    
Massa  0  0  0  0  0  33496  34129  32930  0  0    
Matera  0  0  0  0  0  29026  30764  29665  0  0    
Mechelen  0  0  0  0  0  0  0  0  57344  0    
Melilla  0  0  0  0  0  0  0  38161  38615  38872    
Messina  0  0  0  0  0  105165  103086  102853  0  0    
Metz  178403  177278  176952  177124  176945  177436  178841  180575  0  0    
Middelburg  0  0  60000  56000  0  0  58065  59393  62000  62000    
Middlesbrough  0  0  267300  260100  257900  257600  0  0  0  0    
Milano  0  0  0  0  0  2343135  2364055  2324145  0  0    
Miskolc  0  0  0  134757  0  0  0  0  0  137244    
Modena  0  0  0  0  0  179030  181343  178356  0  0    
Mons  0  0  77819  77075  77488  77084  77031  0  100741  0    
Montbéliard  82009  81344  80846  80161  79380  79154  79079  78725  0  0    
Montpellier  343027  349090  354419  358898  362659  368514  375113  381950  0  0    
Most  0  0  0  0  0  0  0  0  0  0    
Mouscron  0  0  0  0  0  0  0  0  28667  0    
Mulhouse  193681  193563  192859  191541  190752  190577  190803  191137  0  0    
Murcia  308095  309399  303273  304692  310097  308725  312126  313162  321624  322661    
Málaga  417169  421073  424973  423721  416760  422319  422747  416160  428021  433742    
Mérida  0  0  40903  41007  40492  41715  41380  40521  41089  41287    
Mönchengladbach  123300  123200  123777  126773  127019  127032  127139  125438  192000  0    
München  1448800  1475900  1491328  1534026  1549027  1557157  1580604  1553595  1736000  0    
Münster  255000  260300  262160  268830  270161  272547  275634  272791  354000  0    
Namur  0  0  93383  93265  96105  96342  96777  0  120163  0    
Nancy  239361  239202  238853  236640  236087  235237  235174  234879  0  0    
Nantes  459848  466911  475369  481397  488497  496628  503673  512090  0  0    
Napoli  0  0  0  0  0  1199259  1187600  1132539  0  0    
Narva  0  0  0  0  0  0  0  0  25000  24200    
Netherlands  0  8874000  8907000  8930000  0  0  9266859  9307929  9663000  9898000    
Neubrandenburg  135100  131700  129287  128836  125977  121892  122398  122752  57000  0    
Neumünster  37900  37900  38122  38385  38865  39178  39790  39569  62000  0    
Nevsehir  0  0  0  0  0  0  0  0  0  0    
