TIME  2013  2014  2015  2016  2017  2018  2019  2020  2021  2022
Las_Palmas  150109  149309  147886  151426  153950  153585  156124  150183  155838  158012
Latina  0  0  0  0  0  34354  33783  34290  0  0
Latvia  0  0  494900  496800  491600  492400  0  485300  466000  478000
Lausanne  0  0  0  138735  141045  143831  140690  140618  144149  0
Le_Havre  74341  74670  74763  74087  73859  73781  73554  73073  0  0
Le_Mans  83201  83423  83223  83110  82956  82991  83327  83733  0  0
Lecce  0  0  0  0  0  39096  38156  38269  0  0
Lecco  0  0  0  0  0  26864  26499  25319  0  0
Leeds  0  0  597200  601600  597600  592400  0  0  0  0
Leeuwarden  0  59000  65000  63000  0  0  61239  59740  62000  63000
Lefkosia  0  0  0  0  0  0  0  0  0  0
Legnica  0  0  0  0  0  0  0  0  0  0
Leicester  0  0  197200  200000  198700  206000  0  0  0  0
Leiden  0  42000  88000  92000  0  0  95486  97309  99000  102000
Leipzig  240000  242200  243362  243317  245759  245007  251573  247169  238000  0
Lelystad  0  0  29000  29000  0  0  27876  28425  31000  32000
Lemesos  0  0  0  0  0  0  0  0  0  0
Lens  61612  62150  62531  62285  62401  62471  62413  63092  0  0
Leszno  0  0  0  0  0  0  0  0  0  0
Leon  48050  48419  47830  47645  45684  47591  47077  45844  46242  47590
Liberec  0  0  0  0  0  0  0  0  0  0
Liepaja  0  0  23300  22100  21100  23500  23500  22200  0  23300
Lille  334282  336837  337527  338758  340675  343338  345042  347616  0  0
Limerick  0  0  0  0  0  0  0  0  0  0
Limoges  73210  73182  72881  72375  72212  72062  71935  71852  0  0
Linares  0  0  13165  12729  12241  12608  12296  11737  11915  11724
Lincoln  0  0  74000  69900  69800  72000  0  0  0  0
Linkoping  0  0  0  0  46728  47423  0  0  0  0
Lisboa  0  0  0  0  0  0  0  0  710249  0
Lithuania  0  0  741342  748150  736638  735441  0  0  0  0
Liverpool  0  0  332000  344800  337900  353000  0  0  0  0
Livorno  0  0  0  0  0  35368  35769  35204  0  0
Liege  0  0  140130  141273  142622  142574  142201  0  158525  0
Lleida  42992  42575  43150  41991  41805  42412  43778  43982  44269  43328
